,X021a,X021b,X022a,X022b,X023a,X023b,X024a,X024b,X025a,X025b,X026a,X026b,X027a,X027b,X028a,X028b,X029a,X029b,X030a,X030b,X031a,X031b,X032a,X032b,X033a  ,X033b  
1,130.22,536,180,201,358,363,413,415,322,360,273,323,351,470,333,351,204,200,411,435,227,221,428,405,332,318
2,112,447,185,189,233,253,442,387,286,286,182,244,320,320,346,350,176,185,367,397,210,235,401,409,384,358
3,75,281,148,162,175,173,340,421,208,256,277,159,248,308,322,334,159,159,211,342,222,209,440,297,241,248
4,135,314,162,163,96,97,210,340,228,190,224,273.94,199,239,336,368,163,169,200,202,208,278,311,218,149,150
5,132,284,101,99,137,141,247,206,146,204,138,224.06,237,191,234,234,202,204,150,192,292,283,226,212,274,276
6,105,151,98,113,261,274,94,249,88,137,132,128,208,232,214,217,142,149,134,141,288,274,211,272,226,249
7,87,126,205,194,225,227,106,92,150,81,112,128,227,210,268,274,152,153,131,134,285,217,274,254,117,114
8,64,120,140,138,201,202,63,106,102,139,116,102,147,235,256,266,112,128,110,128,235,105,274,173,129,134
9,61,125,86,83,97,96,86,64,92,100,100,98,109,167,214,225,93,98,104,115,115,172,168,152,72,68
10,61,143,78,80,152,158,64,86,65,87,120,120,161,107,270,280,117,109,94,101,179,188,158,89,78,85
11,46,127,58,62,158,176,82,64,58,60,106,124,141,158,199,189,99,96,124,95,191,98,84,133,88,78
12,28,115,52,50,107,103,61,82,74,51,120,124,97,146,182,174,82,87,162,126,103,84,138,139,79,81
13,58,76,70,66,108,114,68,60,84,73,174,128,106,101,194,173,89,83,142,162,111,48,142,129,46,49
14,64,138,60,60,58,64,72,68,93,85,110,172,77,102,133,128,71,81,163,140,50,52,129,111,48,56
15,64,133,82,76,61,54,89,72,54,86,86,124,93,78,129,131,80,68,188,162,52,34,109,78,112,116
16,42,148,61,63,131,128,63,88,76,58,76,90,82,88,129,124,62,72,97,187,34,60,82,74,47,41.92
17,46,106,51,49,96,104,62,64,96,65,72,86,88,81,87,87,58,64,127,95,60,64,71,74,42,49.08
18,43,86,48,46,93,96,110,58,62,93,74,76,75,93,97,104,78,72,121,125,62,80,72,71,60,63
19,38,66,67,69,144,134,74,114,69,66,116,76,85,78,109,111,70,63,83,125,82,124,74,37,40,34
20,40,72,51,52,146,146,48,74,60,64,82,120,119,91,150,145,45,49,62,82,120,69,35,35,33,33
21,56,63,84,87,86,78,42,46,46,59,107,94,76,131,102,112,52,51,79,62,74,36,40,62,67,66
22,53,22,50,52,195,184,32,39,44,45,98,116,63,86,75,73,31,35,59,79,38,39,57,59,64,68
23,47,53,81,78,126,125,56,31,75,46,82,94,47,58,118,121,47,48,87,62,50,42,60,39,79,79
24,66,65,43,47,137,128,36,62,64,77,46,88,61,54,121,102,43,38,128,82,38,39,41,40,83,85
25,42,75,38,38,186,185,36,32,83,63,92,54,60,64,73,74,49,46,63,117,44,57,38,34,76,81
