,X001a,X001b,X002a,X002b,X003a,X003b,X004a,X004b,X005a,X005b,X006a,X006b,X007a,X007b,X008a,X008b,X009a,X009b,X011a,X011b,X012a,X012b,X013a,X013b,X014a,X014b,X015a,X015b,X016a,X016b,X017a,X017b,X018a,X018b,X019a,X019b,X020a,X020b
1623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,,
1624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,,
1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,156,,
1626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,184,,
1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,156,,
1628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,136,,
1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,166,,
1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,118,,
1631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,107,,
1632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,75,,
1633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,84,,
1634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,90,,
1635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,84,,
1636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,78,,
1637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,64,,
1638,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,,,,95,92,,
1639,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,87,93,,
1640,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,296,,,98,108,,
1641,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,240,204,204,243,248,63,73,,
1642,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,322,243,240,314,314,92,101,,
1643,,,,,,,,,,,,,,,,,,,,,71,72.87,,,,,,,,245,219,216,269,272,86,74,,
1644,,,,,,,,,,,,,,,,,,,,,89,84.49,,,,,,,171,156,130,124,185,196,54,63,,
